sales_agent,manager,regional_office,status,account,opportunity_id,sales_agent_2,deal_stage,product,created_date,close_date,close_value
Anna Snelling,Dustin Brinkmann,Central,Current,,I8NC3RFB,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,Y7WAFW9D,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,5TGQL49J,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,OH0HJ6KK,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,YYUJ1DCF,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,D382N39B,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,FEEOZHT8,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Streethex,RSY2XLKK,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Inity,5Q2BX622,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Fasehatice,BG0BLC6S,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Bioplex,OEG8QG42,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Betasoloin,WTD6O2OR,Anna Snelling,In Progress,MG Advanced,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,ZIMT5RQ2,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,7Q90C2VN,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,5ELMZN3E,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,ASDR6QEZ,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,JC7DDV56,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,JSTHYUCD,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,DYXD1AXO,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,V9JDJ861,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,D3ZJX20X,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,OXKLRULK,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,426EL41A,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,EU4DPJGN,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,,4ENCEYPG,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Zoomit,DW5BQ220,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Vehement Capital Partners,F4W7Z1UU,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Sonron,UDAUS3DF,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Scotfind,4H8GZ075,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Plussunin,47P0HBNM,Anna Snelling,In Progress,MG Special,,,
Anna Snelling,Dustin Brinkmann,Central,Current,Plussunin,Z89NKUC7,Anna Snelling,In Progress,MG Special,,,
